epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,77041.6,1.52529,0.83245,0.00567,0.77997,0.64605,0.73318,0.47231,1.46556,1.0017,0.00502,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,79434.9,1.52197,0.82385,0.00568,0.77863,0.64889,0.73405,0.47274,1.46456,0.99995,0.00504,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,81841.6,1.52177,0.82232,0.00564,0.7795,0.64997,0.73348,0.47234,1.46246,1.0031,0.00501,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,84270.6,1.51655,0.81863,0.00562,0.77517,0.65233,0.73167,0.47136,1.46011,1.00198,0.00495,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,86689.9,1.51494,0.81905,0.00559,0.77314,0.65474,0.73322,0.47333,1.45819,0.9956,0.00493,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,89110.3,1.50935,0.81443,0.00556,0.77468,0.65539,0.73534,0.47466,1.45715,0.99033,0.00493,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,91551.1,1.50685,0.81128,0.00552,0.77555,0.65642,0.73683,0.47598,1.45616,0.98649,0.00492,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,93952.8,1.50332,0.80929,0.00549,0.77532,0.65793,0.73777,0.47661,1.45531,0.98423,0.0049,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,96376.3,1.50152,0.80489,0.00549,0.77571,0.65898,0.73837,0.47712,1.45501,0.98307,0.00491,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,98771.9,1.49699,0.80248,0.00546,0.77672,0.65969,0.74023,0.47841,1.45371,0.98036,0.0049,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,101165,1.49218,0.79539,0.00541,0.77852,0.65922,0.74247,0.48004,1.45234,0.97953,0.0049,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,103565,1.48571,0.78693,0.00539,0.78064,0.66125,0.744,0.48121,1.45086,0.97676,0.00488,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,105964,1.48311,0.78387,0.00535,0.77823,0.664,0.74543,0.48218,1.44926,0.97643,0.00487,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,108360,1.48072,0.78248,0.00533,0.78007,0.66435,0.7462,0.48288,1.44787,0.97692,0.00487,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,110767,1.47545,0.775,0.0053,0.78048,0.66552,0.74726,0.48359,1.44694,0.97724,0.00487,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,113180,1.4711,0.76946,0.00529,0.78036,0.66675,0.74801,0.48428,1.44536,0.9784,0.00487,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,115609,1.4636,0.76427,0.00523,0.77983,0.66792,0.74858,0.48498,1.44506,0.97875,0.00488,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,118026,1.4607,0.76159,0.00519,0.7808,0.6679,0.74904,0.48546,1.44353,0.97962,0.00487,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,120435,1.45772,0.75573,0.00518,0.77935,0.66928,0.74962,0.48614,1.44195,0.9819,0.00486,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,122868,1.44951,0.75023,0.00513,0.78042,0.66938,0.75014,0.48655,1.44081,0.98366,0.00486,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,125279,1.44439,0.74375,0.0051,0.78008,0.67056,0.75075,0.48711,1.43972,0.9847,0.00484,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,127669,1.4387,0.74005,0.00506,0.78244,0.67104,0.7518,0.48801,1.43858,0.98532,0.00482,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,130028,1.43284,0.73138,0.00499,0.78098,0.67194,0.75211,0.48805,1.4371,0.98764,0.0048,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,132405,1.42761,0.72809,0.00496,0.78073,0.67401,0.75279,0.48849,1.43592,0.98805,0.0048,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,134779,1.41894,0.72128,0.00493,0.78313,0.67487,0.75388,0.48949,1.43449,0.98677,0.00479,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,137152,1.41118,0.71524,0.00487,0.78327,0.67652,0.75475,0.49013,1.43297,0.98741,0.00477,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,139526,1.40382,0.70805,0.00482,0.7837,0.67819,0.75561,0.49068,1.43197,0.9883,0.00473,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,141941,1.39823,0.70143,0.00478,0.78312,0.68033,0.75649,0.49129,1.43137,0.9892,0.00473,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,144333,1.39379,0.69796,0.00475,0.78428,0.68087,0.75752,0.49203,1.42981,0.99042,0.00471,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
