epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9139.74,1.46365,0.88673,0.0098,0.91093,0.83767,0.90714,0.81062,0.55969,0.43564,0.01258,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9420.55,1.4622,0.87356,0.00978,0.91571,0.82815,0.90287,0.8031,0.58497,0.44728,0.0135,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9701.69,1.45736,0.86621,0.0098,0.9213,0.81894,0.90302,0.81166,0.53757,0.45682,0.01217,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9982.6,1.45602,0.87089,0.00967,0.92555,0.84395,0.91296,0.81522,0.54995,0.39982,0.01233,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10263.8,1.45438,0.86533,0.00971,0.92757,0.8287,0.90926,0.81822,0.53134,0.43047,0.01178,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10545.5,1.44993,0.84047,0.00962,0.92325,0.83587,0.91275,0.81721,0.53774,0.42049,0.01209,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10825.7,1.44819,0.85794,0.00952,0.93547,0.81916,0.90914,0.81763,0.53322,0.41484,0.01179,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11105.5,1.44743,0.85154,0.0096,0.95313,0.82076,0.9157,0.82293,0.54884,0.39651,0.01239,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11385.3,1.42768,0.84713,0.00956,0.94173,0.81704,0.90907,0.81938,0.52577,0.42868,0.01159,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11665.7,1.43723,0.84457,0.00948,0.91904,0.83408,0.91248,0.81812,0.54093,0.40629,0.01199,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11945.6,1.43644,0.83361,0.00949,0.94155,0.82353,0.92001,0.82391,0.52959,0.4059,0.01154,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12225.2,1.43597,0.84383,0.00935,0.94557,0.81973,0.91107,0.82563,0.53721,0.38627,0.01169,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12503.6,1.42563,0.83201,0.00933,0.91909,0.84554,0.91343,0.82411,0.52378,0.40366,0.01134,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12785.3,1.4356,0.82815,0.00946,0.94661,0.83049,0.91545,0.82472,0.53406,0.39355,0.01181,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13066.4,1.41522,0.82245,0.00935,0.95693,0.817,0.9165,0.82692,0.50926,0.40805,0.01118,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
